# q, m1_MSolar, m2_MJ, P, theta_E_uas, mu_rel, t_E, u0, rho, eventID, adsurl, ref
0.002, 0.86, 42.9, 0.5, 0.0, 0.0, 0.0, 0.0, 0.0, OGLE-2016-BLG-0693, https://ui.adsabs.harvard.edu/abs/2017AJ....154..247R, Ryu et al. (2017)
0.029, 1.07, 31.8, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, OGLE-2014-BLG-1112, https://ui.adsabs.harvard.edu/abs/2017ApJ...843...87H, Han et al. (2017)
0.0473, 0.82, 41.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, MOA-2007-BLG-197, https://ui.adsabs.harvard.edu/abs/2015A%26A...580A.125R, Ranc et al. (2015)
0.050, 0.64, 34.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, OGLE-2017-BLG-0614, https://ui.adsabs.harvard.edu/abs/2022A%26A...667A..64H, Han et al. (2022)
0.063, 0.72, 47.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, OGLE-2018-BLG-0360, https://ui.adsabs.harvard.edu/abs/2022A%26A...667A..64H, Han et al. (2022)
0.064, 0.32, 21.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, KMT-2019-BLG-0335, https://ui.adsabs.harvard.edu/abs/2023A%26A...675A..71H, Han et al. (2023)
0.074, 0.74, 58.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, KMT-2021-BLG-1110, https://ui.adsabs.harvard.edu/abs/2023A%26A...678A.190H, Han et al. (2023)
0.083, 0.73, 64.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, KMT-2021-BLG-1643, https://ui.adsabs.harvard.edu/abs/2023A%26A...678A.190H, Han et al. (2023)
0.086, 0.21, 19.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, KMT-2019-BLG-0297, https://ui.adsabs.harvard.edu/abs/2023A%26A...675A..71H, Han et al. (2023)
0.096, 0.29, 29.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, KMT-2018-BLG-0885, https://ui.adsabs.harvard.edu/abs/2023A%26A...675A..71H, Han et al. (2023)
0.097, 0.40, 40.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, OGLE-2016-BLG-0890, https://ui.adsabs.harvard.edu/abs/2022A%26A...667A..64H, Han et al. (2022)
0.099, 0.54, 56.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, KMT-2021-BLG-0588, https://ui.adsabs.harvard.edu/abs/2023A%26A...678A.190H, Han et al. (2023)
0.100, 0.6, 59.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, OGLE-2015-BLG-1319, https://ui.adsabs.harvard.edu/abs/2016ApJ...831..183S, Shvartzvald et al. (2016)
0.103, 0.48, 52.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, OGLE-2018-BLG-1489, https://ui.adsabs.harvard.edu/abs/2022A%26A...667A..64H, Han et al. (2022)
0.103, 0.75, 75.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, KMT-2018-BLG-0321, https://ui.adsabs.harvard.edu/abs/2023A%26A...675A..71H, Han et al. (2023)
0.111, 0.68, 79.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, KMT-2018-BLG-0357, https://ui.adsabs.harvard.edu/abs/2022A%26A...667A..64H, Han et al. (2022)
0.115, 0.74, 89.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, MOA-2017-BLG-477, https://ui.adsabs.harvard.edu/abs/2022A%26A...667A..64H, Han et al. (2022)
0.121, 0.18, 21.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, MOA-2011-BLG-104, https://ui.adsabs.harvard.edu/abs/2012ApJ...760..116S, Shin et al. (2012)
0.130, 0.10, 13.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, OGLE-2013-BLG-0102, https://ui.adsabs.harvard.edu/abs/2015ApJ...798..123J, Jung et al. (2015)
0.134, 0.14, 20.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, MOA-2011-BLG-149, https://ui.adsabs.harvard.edu/abs/2012ApJ...760..116S, Shin et al. (2012)
0.140, 0.19, 28.0, 0.25, 0.0, 0.0, 0.0, 0.0, 0.0, OGLE-2008-BLG-510, https://ui.adsabs.harvard.edu/abs/2012MNRAS.424..902B, Bozza et al. (2012)
0.140, 0.29, 44.0, 0.25, 0.0, 0.0, 0.0, 0.0, 0.0, OGLE-2008-BLG-510, https://ui.adsabs.harvard.edu/abs/2012MNRAS.424..902B, Bozza et al. (2012)
0.153, 0.13, 21.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, KMT-2021-BLG-1770, https://ui.adsabs.harvard.edu/abs/2023A%26A...678A.190H, Han et al. (2023)
0.190, 0.19, 37.7, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, OGLE-2014-BLG-0257, https://ui.adsabs.harvard.edu/abs/2016ApJ...822...75H, Han et al. (2016)
0.222, 0.18, 42.0, 0.25, 0.0, 0.0, 0.0, 0.0, 0.0, OGLE-2008-BLG-510, https://ui.adsabs.harvard.edu/abs/2012MNRAS.424..902B, Bozza et al. (2012)
0.222, 0.28, 64.0, 0.25, 0.0, 0.0, 0.0, 0.0, 0.0, OGLE-2008-BLG-510, https://ui.adsabs.harvard.edu/abs/2012MNRAS.424..902B, Bozza et al. (2012)
0.260, 0.12, 43.5, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, OGLE-2013-BLG-0578, https://ui.adsabs.harvard.edu/abs/2015ApJ...805..117P, Park et al. (2015)
0.270, 0.18, 53.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, MOA-2009-BLG-411, https://ui.adsabs.harvard.edu/abs/2012A%26A...547A..55B, Bachelet et al. (2012)
0.330, 0.13, 42.0, 0.5, 0.0, 0.0, 0.0, 0.0, 0.0, MOA-2009-BLG-016, https://ui.adsabs.harvard.edu/abs/2010ApJ...717..435H, Hwang et al. (2010)
0.510, 0.10, 51.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, OGLE-2006-BLG-277, https://ui.adsabs.harvard.edu/abs/2013ApJ...778..134P, Park et al. (2013)
0.891, 0.10, 94.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, OGLE-2005-BLG-153, https://ui.adsabs.harvard.edu/abs/2010ApJ...723..797H, Hwang et al. (2010)
